Country,Region,Start Date,ISO Code
Albania,Europe,January 2018,8
Belarus,Europe,January 2018,112
Bosnia and Herzegovina,Europe,January 2018,70
Bulgaria,Europe,January 2018,100
Croatia,Europe,January 2018,191
Cyprus,Europe,January 2018,196
Greece,Europe,January 2018,300
Kosovo,Europe,January 2018,0
Moldova,Europe,January 2018,498
Montenegro,Europe,January 2018,499
North Macedonia,Europe,January 2018,807
Romania,Europe,January 2018,642
Russia,Europe,January 2018,643
Serbia,Europe,January 2018,688
Ukraine,Europe,January 2018,804
Syria,Middle East,January 2017,760
Iraq,Middle East,January 2016,368
Turkey,Middle East,January 2016,792
Iran,Middle East,January 2016,364
Saudi Arabia,Middle East,January 2016,682
Yemen,Middle East,January 2016,887
United Arab Emirates,Middle East,January 2016,784
Israel,Middle East,January 2016,376
Jordan,Middle East,January 2016,400
Palestine,Middle East,January 2016,275
Lebanon,Middle East,January 2016,422
Oman,Middle East,January 2016,512
Kuwait,Middle East,January 2016,414
Qatar,Middle East,January 2016,634
Bahrain,Middle East,January 2016,48
India,Asia,January 2016,356
Pakistan,Asia,January 2010,586
Sri Lanka,Asia,January 2010,144
Bangladesh,Asia,January 2010,50
Nepal,Asia,January 2010,524
Afghanistan,Asia,January 2017,4
Cambodia,Asia,January 2010,116
Indonesia,Asia,January 2016,360
Laos,Asia,January 2010,418
Malaysia,Asia,January 2018,458
Myanmar,Asia,January 2010,104
Philippines,Asia,January 2016,608
Thailand,Asia,January 2010,764
Vietnam,Asia,January 2010,704
Algeria,Africa,January 1997,12
Angola,Africa,January 1997,24
Benin,Africa,January 1997,204
Botswana,Africa,January 1997,72
Burkina Faso,Africa,January 1997,854
Burundi,Africa,January 1997,108
Cameroon,Africa,January 1997,120
Central African Republic (CAR),Africa,January 1997,140
Chad,Africa,January 1997,148
Democratic Republic of Congo (DRC),Africa,January 1997,178
Republic of Congo,Africa,January 1997,180
Cote d'Ivoire,Africa,January 1997,384
Djibouti,Africa,January 1997,262
Egypt,Africa,January 1997,818
Equatorial Guinea,Africa,January 1997,226
Eritrea,Africa,January 1997,232
Eswatini,Africa,January 1997,231
Ethiopia,Africa,January 1997,266
Gabon,Africa,January 1997,270
Gambia,Africa,January 1997,288
Ghana,Africa,January 1997,324
Guinea-Bissau,Africa,January 1997,624
Kenya,Africa,January 1997,404
Lesotho,Africa,January 1997,426
Liberia,Africa,January 1997,430
Libya,Africa,January 1997,434
Madagascar,Africa,January 1997,450
Malawi,Africa,January 1997,454
Mali,Africa,January 1997,466
Mauritania,Africa,January 1997,478
Mauritius,Africa,January 1997,504
Morocco,Africa,January 1997,508
Mozambique,Africa,January 1997,516
Namibia,Africa,January 1997,562
Niger,Africa,January 1997,566
Nigeria,Africa,January 1997,646
Rwanda,Africa,January 1997,686
Senegal,Africa,January 1997,694
Sierra Leone,Africa,January 1997,706
Somalia,Africa,January 1997,710
South Africa,Africa,January 1997,728
South Sudan,Africa,January 1997,729
Sudan,Africa,January 1997,748
Tanzania,Africa,January 1997,834
Togo,Africa,January 1997,768
Tunisia,Africa,January 1997,788
Uganda,Africa,January 1997,800
Zambia,Africa,January 1997,894
Zimbabwe,Africa,January 1997,716
